16:26:33[Sound][error]-sounds.json | individual_event_sounds | events | chest.close | Event name 'chest.close' is not a valid LevelSoundEvent

16:27:10[Scripting][verbose]-Plugin Discovered [Dragon sword] PackId [acdd5b56-7b7d-405b-bcdf-13e85e2beaaf_8.0.0] ModuleId [497ce0f6-6b3e-45b1-b4b3-f4529febec18]

16:27:10[Scripting][verbose]-Plugin [Dragon sword] - promoted [@minecraft/server] from [2.0.0] to [2.9.0] requested by [@minecraft/server-ui-bindings - 2.1.0].

16:27:10[Scripting][verbose]-Plugin [Dragon sword] - promoted [@minecraft/server-bindings] from [2.0.0] to [2.9.0] requested by [@minecraft/server - 2.0.0].

16:27:10[Scripting][error]-[Dragon sword] SyntaxError: unexpected character    at modules/land_claims/main.js:56


16:27:10[Scripting][error]-Plugin [Dragon sword - 8.0.0] - [main.js] ran with error: [SyntaxError: unexpected character    at modules/land_claims/main.js:56
]

16:27:14[Sound][error]-sounds.json | individual_event_sounds | events | chest.close | Event name 'chest.close' is not a valid LevelSoundEvent

16:27:15[Blocks][warning]-Warning: The blocks.json "format_version" field was not given. "format_version" 1.1.0 will be used.

16:27:15[Blocks][warning]-minecraft:poppy | 'minecraft:poppy' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:blue_orchid | 'minecraft:blue_orchid' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:allium | 'minecraft:allium' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:azure_bluet | 'minecraft:azure_bluet' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:red_tulip | 'minecraft:red_tulip' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:orange_tulip | 'minecraft:orange_tulip' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:white_tulip | 'minecraft:white_tulip' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:pink_tulip | 'minecraft:pink_tulip' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:oxeye_daisy | 'minecraft:oxeye_daisy' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:cornflower | 'minecraft:cornflower' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:lily_of_the_valley | 'minecraft:lily_of_the_valley' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:dandelion | 'minecraft:dandelion' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:brown_mushroom | 'minecraft:brown_mushroom' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:red_mushroom | 'minecraft:red_mushroom' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:cobblestone_wall | 'minecraft:cobblestone_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:mossy_cobblestone_wall | 'minecraft:mossy_cobblestone_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:granite_wall | 'minecraft:granite_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:diorite_wall | 'minecraft:diorite_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:andesite_wall | 'minecraft:andesite_wall' | Invalid blockshape name.

